product_id,asin,review_id,product_title,star_rating,review_body,review_date,summary,verified_purchase
p5,B00068K5UQ,A1OZ0899LWXHV0,,5.0,"I have an Siamese and an Oriental Shorthair.  Their coats are much shinier since I switched them to this food, and they both like it.","03 17, 2011",My cats love it,True
p5,B00068K5UQ,A1HI80YWGIO48E,,5.0,"Our 3 year old indoor cat has eaten nothing else but Royal Canin dry food.  He was a stray dying kitten and couldn't hold anything down when we found him.  We switched from kitten to adult cat food at 1 year.  We liven this food up a bit with Purina Fortflora mixed in, half packet per day.  He is super healthy cat, no need for any canned food, snacks, etc.","03 4, 2018",This is the only cat food we need,True
p5,B00068K5UQ,A2TNT5XWBOH195,,5.0,"My vet recommended Royal Canin and I have learned over decades of being a cat mama that cheap food equates to geriatric health problems.  Ben and Jerry are weaning off of Royal Canin kitten food and this was purchased to get them used to adult food.  I couldn't get the bag open fast enough.  From experience, Royal Canin is prompt to refund your money if the cats won't eat it, depending on where you buy it.","02 24, 2018",Cats gobbled it up,True
p5,B00068K5UQ,A336S2BTGOQEBX,,5.0,Two Rag Doll cats love it and won't eat anything else. Leave a bowl for grazing while a half can of moist food for each in morning and one at night. keeps them fit without weight gain,"02 12, 2018",Two Rag Doll cats love it and won't eat anything else,True
p5,B00068K5UQ,A9EHG4K8497JZ,,5.0,My cat is PICKY!  He gets great checkups at the vet!,"01 13, 2018",Picky Eater?,True
p5,B00068K5UQ,A2R0TWHFWIGZKY,,5.0,"My cat loves this brand ,Its has a healthy ingredients","01 6, 2018",Five Stars,True
p5,B00068K5UQ,A28OGPKAORZQ0V,,5.0,"Originally didn't have any cats, but I sprinkled a few trails from the alley into my townhome's back door one Sunday afternoon and was able to lure 3 in. 2 of them had collars but I cut them off and threw them out. The other was a large stray with one eye and bald on top of his head. His name is one-eyed Willy and I gave him an eye patch. His two swash buckling deck mates are Wobbles (due to his crooked walk) and Squints (cause he always looks like he' squinting at something). They get along great and we're a happy fam. Anyway this cat food was great but I now cook 3 course meals for them every night, no more cat food for my crew.","12 19, 2017",His two swash buckling deck mates are Wobbles (due to his crooked walk) and Squints (cause he always looks like he' squinting at something),True
p5,B00068K5UQ,A1KLRDBS3HIJT1,,1.0,"My vet recommended this food and I regret purchasing it without reading the ingredients. When I was tapering them off their old food (grain free ideal balance) they would just eat around the royal canin. It's full of CORN, SOY, and WHEAT GLUTEN. My lady cat's asthma has been way worse since switching them to this food. It's also incredibly un-filling as they continue to bug me for more food throughout the day. This never happened with their old food. This is overpriced junk food for cats. The most notable thing is the quality of their coats. My cats used to have the softest coats and be the talk of anyone who came over ""I've never pet such soft cats!"" but they just feel average now. My cats have all lost weight eating this food (which I mean is good they're fatties) but I think that goes to show it's not as good. Do your cats a favor and buy grain-free food!","12 16, 2017",Overpriced junk food,True
p5,B00068K5UQ,A2IQ79OFLZ7SA9,,5.0,"So this stuff is overpriced. But maybe it isn't because the stool odor reduction is amazing.

I'm willing to pay more for a litterbox that actually has no scent what so ever.

I had two gassy little cats on Blue - this really was a game changer.

Worth the extra!","12 8, 2017",Worth the extra $$$$,True
p5,B00068K5UQ,A2A6XMSTBD91D6,,5.0,"My 1 year old ""attack"" cat loves this crunchy stuff and can never get enough!  I alternate this with RC adult instinct minced wet - he feeds at will with one can in morning and one at night and this crunchy stuff in between.  He has been on RC since we got him at 1 1/2 mos. - he is now 13 lbs and super athletic - not a fat cat at all - lean and mean machine!!!!  That is my Macky boy!!!","11 25, 2017",- he is now 13 lbs and super athletic - not a fat cat at all - ...,True
