product_id,asin,review_id,product_title,star_rating,review_body,review_date,summary,verified_purchase
p2,B0009YUI6I,AJD41FBJD9010,,5.0,"Blue Buffalo Spa Select is great! Top of the line ingredients, human food grade-- there's a chicken version and a fish version. I'm really careful to keep on top of the literature about pet foods, and so I'm confident that this food meets a high standard. No yucky meat ""by-products"", meat and meat meals are the top ingredients, in addition to a host of wholesome and varied ingredients and probiotics.

On top of that, this is an incredibly palatable food. My cat LOVES it. In fact, she scarfs it right down, when she typically has just grazed on a piece or two at a time of other premium foods. I have to be careful to use a measuring cup and not overfeed her, 'cause she will seek me out and meow for more!

Blue Buffalo uses a unique process to manufacture ""lifebits"" which are added to the food. These smaller, darker pieces are cold formed in order to maintain nutrients. I don't believe any other company incorporates this kind of element into cat or dog food.

I came across this cat food at the local Tractor supply (I was there to buy chicken feed!). I'd never heard or read about Blue Buffalo, but I respect what they are doing, and I've changed to Blue Buffalo dog food for my golden retrievers, too.","01 23, 2009","tasty, human grade ingredients, unique manufacturing process",False
p2,B0009YUI6I,AJD41FBJD9010,,5.0,"Blue Buffalo Spa Select is great! Top of the line ingredients, human food grade-- in addition to the indoor cat formula there's a chicken version and a fish version. This food meets a very high standard. No yucky meat ""by-products"", meat and meat meals are the top ingredients, plus a host of wholesome and varied ingredients and probiotics.

On top of that, this is an incredibly palatable food. My cat LOVES it. In fact, she scarfs it right down, when she typically has just grazed on a piece or two at a time of other premium foods. I have to be careful to use a measuring cup and not overfeed her, 'cause she will seek me out and meow for more!

Blue Buffalo uses a unique process to manufacture ""lifebits"" which are added to the food. These smaller, darker pieces are cold formed in order to maintain nutrients. I don't believe any other company incorporates this kind of element into cat or dog food.

I came across this cat food at the local Tractor Supply. I'd never heard or read about Blue Buffalo, but I respect what they are doing, and I've changed to Blue Buffalo dog food for my golden retrievers, too.

~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Here's a summary of the nutritional information:

-Recommended daily feeding chart-- amount varies based on age, activity level, breed, and environement, but in general a 5-9 pound cat will eat 1/4-1/2 cup, while a 10-14 pound cat will eat 1/2-1 cup.
-One cup contains 478 calories
-Major ingredients:
Deboned chicken, chicken meal, whole ground barley, fish meal, oatmeal, whole ground brown rice, whole potatoes, chicken fat (preserved with natural mixed tocopherols), natural chicken flavor, dried egg, dried cellulose, whole sweet potatoes, whole carrots, cranberries, blueberries, flaxseed (natural soource of Omega 6 fatty acids), barley grass, dried parsley, alfalfa meal, kelp meal, taurine, l-carnitine, l-lysine, ycca schidigera, green tea extract, turmeric, salmon oil (natural source of Omega 3 fatty acids), black malted barley, dried chicory root, fructooligosaccarides, oil of rosemary, the expected vitamins and minerals, and several probiotics (lactobacillus acidolphilus, bacillus subtilis, bifidobacgterium thermophilum, bifidobacgterium longum, enterococcus faecium).

I hope this helps you evaluate whether or not this food is a good match for your feline friend.  My cat and I have been really happy with it.","01 23, 2009","my cat loves this food-- human quality ingredients, unique manufacturing process",False
p2,B0009YUI6I,AJD41FBJD9010,,5.0,"Blue Buffalo Spa Select is great! Top of the line ingredients, human food grade-- in addition to the indoor cat formula there's a chicken version and a fish version. This food meets a very high standard. No yucky meat ""by-products"", meat and meat meals are the top ingredients, plus a host of wholesome and varied ingredients and probiotics.

On top of that, this is an incredibly palatable food. My cat LOVES it. In fact, she scarfs it right down, when she typically has just grazed on a piece or two at a time of other premium foods. I have to be careful to use a measuring cup and not overfeed her, 'cause she will seek me out and meow for more!

Blue Buffalo uses a unique process to manufacture ""lifebits"" which are added to the food. These smaller, darker pieces are cold formed in order to maintain nutrients. I don't believe any other company incorporates this kind of element into cat or dog food.

I came across this cat food at the local Tractor Supply. I'd never heard or read about Blue Buffalo, but I respect what they are doing, and I've changed to Blue Buffalo dog food for my golden retrievers, too.

~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Here's a summary of the nutritional information:

-Recommended daily feeding chart-- amount varies based on age, activity level, breed, and environement, but in general a 5-9 pound cat will eat 1/4-1/2 cup, while a 10-14 pound cat will eat 1/2-1 cup.
-One cup contains 478 calories
-Major ingredients:
Deboned chicken, chicken meal, whole ground barley, fish meal, oatmeal, whole ground brown rice, whole potatoes, chicken fat (preserved with natural mixed tocopherols), natural chicken flavor, dried egg, dried cellulose, whole sweet potatoes, whole carrots, cranberries, blueberries, flaxseed (natural soource of Omega 6 fatty acids), barley grass, dried parsley, alfalfa meal, kelp meal, taurine, l-carnitine, l-lysine, ycca schidigera, green tea extract, turmeric, salmon oil (natural source of Omega 3 fatty acids), black malted barley, dried chicory root, fructooligosaccarides, oil of rosemary, the expected vitamins and minerals, and several probiotics (lactobacillus acidolphilus, bacillus subtilis, bifidobacgterium thermophilum, bifidobacgterium longum, enterococcus faecium).

I hope this helps you evaluate whether or not this food is a good match for your feline friend. My cat and I have been really happy with it.","01 23, 2009","a great premium food-- human grade ingredients, thoughtfully chosen, with unique manufacturing process",False
p2,B0009YUI6I,A19TO36EENEPDI,,5.0,"Bought this based on a friend's recommendation.  Our cats liked it very well and seemed to enjoy it.

One of our cats developed a urinary tract infection.  I don't think it was related to this food, but in any case, my husband bought Hill's Science Prescription Diet for Urinary Care from our vet.  The price was high.  I looked up Blue Buffalo Urinary Care Formula and saw that it was $63 for 6.5 pounds.  We love our cats, but that food costs more per pound than most of our food!  We've switched to Purina One Urinary Care formula and we'll see how this work.

I would buy this item again if our cat did not have any urinary tract issues.","05 6, 2018",Good food for a good price.  Didn't work for us due to one cat's health issues.,True
p2,B0009YUI6I,A2AD0A2IACWKD3,,5.0,"At first I was afraid of switching from Blue Kitten dry food to the adult food because others said their cat didn't like it. Not so with my Maine Coon kitten that's just over a year old. She likes it better. I've never seen her chow down on food like with this. Anything that fell out of her bowl she cleaned up. I've come to find out that my cat has a smaller amount of  ""stoolsl""  when she eats the Blue brand....less waste I guess. I'm happy with it as is my Chole so I will be buying this from now on.","05 6, 2018",Cat loves it,True
p2,B0009YUI6I,A3PYPPIIQGEM25,,5.0,"My cat is a fussy eater, he is so prone to weight gain, so I have to keep him on indoor cat foods. Most indoor catfoods are not edible to him, he will make half a cup last an entire day when I usually feed him twice daily because he hates the stuff. This and natural balance are the only brands he eats.","05 3, 2018","My cat is a fussy eater, he is so ...",True
p2,B0009YUI6I,A1TU7BVOYV31XW,,5.0,cat loves the taste,"05 1, 2018",Five Stars,True
p2,B0009YUI6I,A1061ZMNL76DY0,,3.0,IS OK,"05 1, 2018",Three Stars,True
p2,B0009YUI6I,ATUXNR3WHD18N,,3.0,My new shelter cat was vomiting every day.  Now she vomits less but still hacks every day.  I discovered that she does not chew her food.,"04 30, 2018",My new shelter cat was vomiting every day. Now ...,True
p2,B0009YUI6I,AF7KVFTGUBK98,,5.0,"This, plus a wet sensitive stomach food, totally helped my 15 year-old. Shes MUCH better and so is my floor!","04 27, 2018",Makes a BIG difference in cat tummy trouble,True
