product_id,asin,review_id,product_title,star_rating,review_body,review_date,summary,verified_purchase,review_date_iso
p1,B0000AH3RM,A1G19MAMLPV1NW,,5.0,Happy cats Won't eat much else,"05 4, 2018",Happy cat,True,2018-05-04
p1,B0000AH3RM,A1YXDQB0JFSK16,,5.0,My cats really love this!,"05 3, 2018",Five Stars,True,2018-05-03
p1,B0000AH3RM,A2GBWNXAIP0TV3,,2.0,"This food isn't that bad probably, but my one year old did not like it at all.","04 30, 2018",I know this food is quality,False,2018-04-30
p1,B0000AH3RM,AU3PSVTE2K9BV,,5.0,"love this food, Yes it's a bit more expense than most, but i love my furbabies, VERY good blend for THEM, my cats range from 2 YEARS To 15 years.. i have 4 of the.and this cat food is great. THEY love the taste and there are So many Other flavors. my cats cannot eat seafood because they get SICK often,  many cats Will because of their digestive tract. So this has chicken,, and the protein levels are gr8. the older the cat the higher their protein needs To be. So they have food for 7+, hairball formula,  just remember if You switch Your cats food do it gradually,  add this To their old food, little by little. Otherwise their digestive tract will cause inflamation and You will be going to the vets office.","04 21, 2018",recommended gr8 food line,True,2018-04-21
p1,B0000AH3RM,A36L29TKG3LHR1,,5.0,This is the only dry food my cats eat....the hair control really works well.,"04 15, 2018",Great food for the cats and definitely helps with the hair control,False,2018-04-15
p1,B0000AH3RM,A2N1R1FQ1IT5GR,,5.0,This is a nutritional cat food and my cats seem to like it. What more could you want?,"04 12, 2018",Nutritional cat food,True,2018-04-12
p1,B0000AH3RM,A13SV5R32D27W5,,5.0,My cats really enjoy the Purina One Tender Selects.,"04 12, 2018",Cats really like this,True,2018-04-12
p1,B0000AH3RM,A1Y1S9U8LL0SC6,,5.0,My kitty loves this food.,"04 11, 2018",Healthy for my Kitty!!,True,2018-04-11
p1,B0000AH3RM,ADAV5X1FZR6BV,,4.0,"I did not give it a five stars, as if it were vegan then it would earn five stars.","04 6, 2018","I did not give it a five stars, as ...",True,2018-04-06
p1,B0000AH3RM,A2GINT5SA5Q58Y,,5.0,Helping Shelter Animals,"04 5, 2018",For Shelter Animals,True,2018-04-05
p1,B0000AH3RM,A2EYLJ738NNKAA,,5.0,My one remaining cat loves this food. Excellent quality and seller.,"04 4, 2018",Excellent quality and seller,True,2018-04-04
p1,B0000AH3RM,A3STS1SM8MXXMU,,5.0,Excellent cat food!!,"04 3, 2018",Five Stars,True,2018-04-03
p1,B0000AH3RM,A3BPBIJAZZ3MVC,,5.0,"What I like about this formula is no strong urine Oder from the litter box, keep the fish out keeps the stink out","04 1, 2018",No more strong smells,True,2018-04-01
p1,B0000AH3RM,AYXR3E9M1P383,,5.0,My cats love this food when  i cant get my normal brand and flavor,"03 27, 2018",Perfect price for happy pets,True,2018-03-27
p1,B0000AH3RM,AH0DVI73RU1ZC,,4.0,"Feral cats don't seem to like as much as some other Flores kibble.  I like the brand, so too bad.","03 27, 2018",Feral kitty food,True,2018-03-27
p1,B0000AH3RM,A26KB6O9BGQUY7,,5.0,Softer for older kitty cats to chew. Likes the taste.,"03 27, 2018",Purina ONE Tender Selects,True,2018-03-27
p1,B0000AH3RM,A1RM71V3BBGG6F,,1.0,Not the best quality ingredients for a feline. I wouldn't buy this again or feed it to my cats. I donated it to the local shelter.,"03 25, 2018",Not a good quality food for a cat.,True,2018-03-25
p1,B0000AH3RM,A2NVHHG7JJ7TO6,,3.0,"I am a little disappointed on the size of these cat food.  They are too big for my cats, they are not happy with it.  I will have to go back to my original cat food.","03 25, 2018",I am a little disappointed on the size of these cat food,True,2018-03-25
p1,B0000AH3RM,A13Z63K99ENW6A,,5.0,"My cats love it, that's what is most important.","03 24, 2018",My cats' favorite,False,2018-03-24
p1,B0000AH3RM,A3SRDVCD2ATIIS,,4.0,Been buying for years.  Cats seem t like it. Decent quality at a decent price.,"03 19, 2018",Decent cat food for the price.,True,2018-03-19
p1,B0000AH3RM,A1RRNAPLUCPVMU,,4.0,"Very good, I like it very much","03 19, 2018",Four Stars,True,2018-03-19
p1,B0000AH3RM,A29A42KFBMJR3V,,5.0,Cats love this. Beautiful coats on all my cats,"03 13, 2018",Five Stars,True,2018-03-13
